timestamp,TimeUS,Th0,UR,UP,UY
1746304127.73000002,59883647,0.3359496593475342,-0.12278492003679276,-0.0009182409849017859,0.0005005084094591439
1746304127.73300004,59886647,0.33584827184677124,-0.1202629879117012,-0.0008108521578833461,0.0004760828451253474
1746304127.73500013,59888647,0.335802286863327,-0.11027630418539047,-0.000777802721131593,0.00045073573710396886
1746304127.73800015,59891647,0.3357677459716797,-0.08593472838401794,-0.0007075763423927128,0.0003994695143774152
1746304127.74000001,59893647,0.3357854187488556,-0.06295483559370041,-0.0006547289667651057,0.0003618620103225112
1746304127.74300003,59896647,0.3358466625213623,-0.024297749623656273,-0.0006004370516166091,0.000303031993098557
1746304127.74500012,59898647,0.3359057307243347,0.0047527942806482315,-0.0006222500232979655,0.0002621605817694217
1746304127.74800014,59901647,0.335995078086853,0.04531742259860039,-0.000660181394778192,0.00020383475930429995
1746304127.75000000,59903647,0.3360382318496704,0.07033083587884903,-0.0006598199834115803,0.00016872755077201873
1746304127.75300002,59906647,0.3360787332057953,0.09831364452838898,-0.0006524249329231679,0.00011982701107626781
1746304127.75500011,59908647,0.33608153462409973,0.11053629219532013,-0.0006608631229028106,8.700802573002875e-05
1746304127.75800014,59911647,0.3360683023929596,0.11654634028673172,-0.0007229853654280305,3.5810331610264257e-05
1746304127.75999999,59913647,0.33605509996414185,0.11181998252868652,-0.0007841665064916015,8.665338100399822e-07
1746304127.76300001,59916647,0.3360406458377838,0.0942453071475029,-0.0008472726913169026,-4.5360397052718326e-05
1746304127.76500010,59918647,0.33604487776756287,0.07514767348766327,-0.0008917194791138172,-7.021345663815737e-05
1746304127.76800013,59921647,0.33606481552124023,0.0404449962079525,-0.0009614586597308517,-9.189326374325901e-05
1746304127.76999998,59923647,0.33608126640319824,0.012581885792315006,-0.0010067337425425649,-0.00010065054084407166
1746304127.77300000,59926647,0.3360948860645294,-0.028842531144618988,-0.0009727979777380824,-0.00010370484960731119
1746304127.77500010,59928647,0.3360755443572998,-0.05591834709048271,-0.001037465175613761,-0.0001025170276989229
1746304127.77800012,59931647,0.33601367473602295,-0.08896198123693466,-0.000988987972959876,-9.63419588515535e-05
1746304127.77999997,59933647,0.33593979477882385,-0.10558818280696869,-0.000971190573181957,-9.015468822326511e-05
1746304127.78299999,59936647,0.33580726385116577,-0.11820816248655319,-0.0009412763174623251,-7.248790643643588e-05
1746304127.78500009,59938647,0.33571529388427734,-0.11815114319324493,-0.0009329881286248565,-5.9276269894326106e-05
1746304127.78800011,59941647,0.33559226989746094,-0.10672016441822052,-0.0009235484176315367,-4.1768060327740386e-05
1746304127.78999996,59943647,0.3355409801006317,-0.09193522483110428,-0.00091698975302279,-3.271352397860028e-05
1746304127.79299998,59946647,0.33550235629081726,-0.06277407705783844,-0.0008927554590627551,-2.6390112907392904e-05
1746304127.79500008,59948647,0.33551105856895447,-0.0378752164542675,-0.0008930123294703662,-2.479598333593458e-05
1746304127.79800010,59951647,0.33554577827453613,0.001282065873965621,-0.0008879677625373006,-3.178549377480522e-05
1746304127.79999995,59953647,0.3355700373649597,0.028802772983908653,-0.0008403895189985633,-3.9048776670824736e-05
1746304127.80299997,59956647,0.33559495210647583,0.06477006524801254,-0.0008230817620642483,-5.142988811712712e-05
1746304127.80500007,59958647,0.33559033274650574,0.08510803431272507,-0.0008120533311739564,-5.867240543011576e-05
1746304127.80800009,59961647,0.3355625867843628,0.10495615750551224,-0.0007889984990470111,-6.490388477686793e-05
1746304127.80999994,59963647,0.3355296552181244,0.11101333051919937,-0.0008134072413668036,-6.629972631344572e-05
1746304127.81299996,59966647,0.335475891828537,0.10843773931264877,-0.0007636259542778134,-6.131660484243184e-05
1746304127.81500006,59968647,0.33544740080833435,0.09862658381462097,-0.0006991170812398195,-5.455007340060547e-05
1746304127.81800008,59971647,0.3354194760322571,0.0748162716627121,-0.0006247767014428973,-3.693261169246398e-05
1746304127.82000017,59973647,0.33541664481163025,0.05229073017835617,-0.0005903781857341528,-2.4874436348909512e-05
1746304127.82299995,59976647,0.3354211151599884,0.014444069005548954,-0.0005706567317247391,-1.5956800780259073e-05
1746304127.82500005,59978647,0.3354165256023407,-0.013706917874515057,-0.0005137136904522777,-1.6509466149727814e-05
1746304127.82800007,59981647,0.3353913426399231,-0.05268283560872078,-0.0004635736404452473,-2.618934740894474e-05
1746304127.83000016,59983647,0.3353452682495117,-0.07637021690607071,-0.00045044178841635585,-3.4201024391222745e-05
1746304127.83299994,59986647,0.3352486193180084,-0.10236327350139618,-0.0004438611213117838,-5.142170630278997e-05
1746304127.83500004,59988647,0.335162878036499,-0.11304923892021179,-0.000537093379534781,-6.332818884402514e-05
1746304127.83800006,59991647,0.33502745628356934,-0.11723142117261887,-0.0005847357679158449,-7.856998854549602e-05
1746304127.84000015,59993647,0.33494648337364197,-0.11176086217164993,-0.0006136631709523499,-8.6709696915932e-05
1746304127.84299994,59996647,0.3348493278026581,-0.09316179901361465,-0.000691150373313576,-9.59295648499392e-05
1746304127.84500003,59998647,0.334818035364151,-0.07343167066574097,-0.0007593843620270491,-0.00010400479368399829
1746304127.84800005,60001647,0.33480504155158997,-0.038163695484399796,-0.0008478864911012352,-0.00011820724466815591
1746304127.85000014,60003647,0.3348187506198883,-0.010351130738854408,-0.0008128866902552545,-0.00012702052481472492
1746304127.85300016,60006647,0.33484768867492676,0.03032699227333069,-0.0007301089353859425,-0.0001376828149659559
1746304127.85500002,60008647,0.3348587453365326,0.05659445747733116,-0.0007242889842018485,-0.00014331423153635114
1746304127.85800004,60011647,0.33486098051071167,0.08766819536685944,-0.0006664663087576628,-0.00014751244452781975
1746304127.86000013,60013647,0.3348507285118103,0.10295598953962326,-0.0006255512125790119,-0.00014812860172241926
1746304127.86300015,60016647,0.33483052253723145,0.1141669750213623,-0.0005376561894081533,-0.000143783850944601
1746304127.86500001,60018647,0.33482372760772705,0.1136380285024643,-0.000448019418399781,-0.0001383948838338256
1746304127.86800003,60021647,0.33482930064201355,0.10158809274435043,-0.0003171356802340597,-0.00012447271728888154
1746304127.87000012,60023647,0.3348578214645386,0.08571286499500275,-0.0002455742214806378,-0.0001124022965086624
1746304127.87300014,60026647,0.3349250555038452,0.05445127561688423,-0.00018956820713356137,-9.191929711960256e-05
1746304127.87500000,60028647,0.3349750339984894,0.028348136693239212,-0.0011387908598408103,-7.870593981351703e-05
1746304127.87800002,60031647,0.3350406289100647,-0.0121275894343853,-0.002773271407932043,-6.269624282140285e-05
1746304127.88000011,60033647,0.335063636302948,-0.039899129420518875,-0.004546124022454023,-5.798983693239279e-05
1746304127.88300014,60036647,0.33507227897644043,-0.07562939822673798,-0.006821084301918745,-8.645752677693963e-05
1746304127.88499999,60038647,0.33505070209503174,-0.09538577497005463,-0.00871480442583561,-0.0001315013214480132
1746304127.88800001,60041647,0.33499643206596375,-0.11390829086303711,-0.010895457118749619,-0.0002832400787156075
1746304127.89000010,60043647,0.3349508047103882,-0.11874888092279434,-0.01259036548435688,-0.0004348647780716419
1746304127.89300013,60046647,0.3348880708217621,-0.11434706300497055,-0.014297720044851303,-0.0007980976370163262
